No;Classes;Text
84;BAD;"Big U.S. banks are expected to show a sharp decline in first quarter earnings from a year ago, when they benefited from exceptionally strong dealmaking and trading, and funds set aside for loan losses being released.

Net income for the six biggest U.S. banks will be down about 35% from a year earlier, according to analyst estimates from Refinitiv I/B/E/S. Investment banking revenues stalled after the Russian invasion of Ukraine in late February.

The quarter will be challenging for the biggest banks, according to analyst Christopher McGratty of Keefe, Bruyette & Woods. Estimated revenue declines of 36% in investment banking and 18% in trading are the biggest headwind, he said."
85;BAD;"An area of increasing concern to investors is whether banks, particularly JPMorgan, are allowing expenses to increase too much. JPMorgan's non-interest expenses jumped 11% in the last quarter, partly due to higher wages. It has also warned of rising technology and acquisition costs.

Banks are more exposed to possible trading losses this quarter, particularly in commodities markets which turned volatile after Russia launched what it calls a ""special military operation"" in Ukraine.

Some banks, such as Citigroup, may make provisions for losses on Russian businesses after Western nations began imposing sanctions. Citigroup has said it could lose nearly half of its $9.8 billion exposure in a severe scenario."
86;NEUTRAL;"AB Volvo expects its first-quarter operating income to take a hit from uncertainty caused by the Russia-Ukraine war and will set aside provisions worth 4 billion crowns ($423.2 million) to cover that, the Swedish truck maker said on Friday.

Russia's six-week long incursion in Ukraine has seen more than 4 million people flee abroad, killed or injured thousands, turned cities into rubble and led to sweeping sanctions on its leaders and companies.

""The Volvo Group has total assets of about 9 billion crowns related to Russia, of which about 6 billion crowns is cash items that could be materialized over the coming years,"" it said in a statement.

""In the first quarter 2022, assets amounting to approximately 4 billion crowns will be provided for and have a negative impact on operating income, primarily in the Financial Services segment,"" it added.

Volvo in February suspended all sales, service and production in Russia, which last year accounted for about 3% of its net group sales of about 372.2 billion crowns.

The company's production site in Kaluga, near Moscow, has a capacity to produce 15,000 vehicles per year and employed over 600 people.

Shares in the company have lost a quarter of their value since the start of the year as shortages of components and freight capacity led to production disruptions and increased costs, denting profits."
87;GOOD;"Graincorp expects annual underlying net profit after tax between A$310 million and A$370 million ($231.82 million - $276.72 million), up from its previous forecast of A$235 million to A$280 million and far higher than the A$139 million reported last year.

The upgraded forecast also trounced Refinitiv analysts' expectations of A$266.2 million net income for the year.

The company added that its processing business was also performing strongly, with oilseeds benefiting from strong global demand for crude and refined vegetable oils.

It also pointed to higher export supply-chain margins and a good crop season, both supporting its higher profit outlook."
88;GOOD;HP Inc's stock soared to a record high on Thursday after billionaire Warren Buffett's Berkshire Hathaway (NYSE:BRKa) Inc said it had taken an 11.4% stake valued at about $4.2 billion in the maker of personal computers and printers.
89;GOOD;"The S&P 500 ended higher on Thursday, with Pfizer and Tesla (NASDAQ:TSLA) fueling a late-session rally while investors eyed the war in Ukraine and a potentially more aggressive Federal Reserve.

Tesla Inc rose 1.2% and Microsoft Corp (NASDAQ:MSFT) added 0.6%, helping lift the S&P 500 and provide the Nasdaq a modest gain.

Also supporting the S&P 500, Pfizer Inc (NYSE:PFE) jumped 4.3%after it said it would buy privately held ReViral Ltd in a deal worth as much as $525 million, its second acquisition in less than six months to boost its drug portfolio."
90;GOOD; Belgian oil tanker group Euronav (NYSE:EURN) and smaller Oslo-listed rival Frontline (NYSE:FRO) plan to merge in an all-stock transaction valued at $4.2 billion that they said would cut costs and help in their low-carbon transition. Euronav's owners will get 59% of the combined group and will also receive a cash dividend before the deal closes, while Frontline owners will hold the remaining 41%, the companies said in a statement on Thursday.
91;BAD;Shell’s stock fell 1.1%, dragging BP’s stock down 1.4% as the rival also has substantial interests in Russia to unwind. The losses of these two highly-weighted stocks resulted in the FTSE 100 index underperforming its European peers.
92;GOOD;Microsoft Corp's LinkedIn boosted subscription revenue by 8% after arming its sales team with artificial intelligence software that not only predicts clients at risk of canceling, but also explains how it arrived at its conclusion.
93;GOOD;Nissan (OTC:NSANY) Motor Co on Wednesday said it will invest 1.3 billion reais ($276.12 million) in its plant in Resende in the Brazilian state of Rio de Janeiro and in launching new products between this year and 2025.
94;GOOD;"RPM International Inc (NYSE:RPM) shares gained 5% on Wednesday after the company reported record earnings for the third quarter.

The manufacturing company saw third-quarter revenue reach a record $1.43 billion. The 13% increase compared to the prior-year quarter also beat analysts' estimates of $1.41 billion.

In addition, adjusted earnings per share were also able to beat forecasts of $0.30, coming in at $0.38. 

The company reported a record EBIT of $66.9 million and a 2.3% growth over the prior year. "
95;BAD;"European equity funds faced their first monthly outflow in two years in March as the Russia-Ukraine conflict and rising energy prices hurt prospects for profit growth and margins this year.

According to Refinitiv Lipper, European equity funds witnessed an outflow of $27 billion last month, their first outflow since March 2020.

For a related graphic, click https://tmsnrt.rs/3NTvyoe

At the same time, U.S. equity funds received $20 billion, and Asian equity funds obtained $8.7 billion in March, the data showed.

The divergence in flows highlights investors' reluctance to be exposed to markets deemed vulnerable to the ongoing conflict and on account of Europe's higher trade links with Russia and Ukraine.

Analysts expect higher inflation levels will raise companies' input costs and squeeze their profit margins.

Euro zone inflation surged to a record 7.5% in March, as the war in Ukraine and sanctions on Russia pushed fuel and natural gas prices to record highs.

""The growth outlook is slowing,"" Sarah McCarthy, analyst at Bernstein, said in a note.

""It is easy to raise prices to counteract increases in input costs when the economy is roaring, less easy in a slowdown.""

The data showed Zwitserleven Duurzaam Index Aandelenfonds Europa had outflows worth $912 million, while BlackRock (NYSE:BLK) European Dynamic A Acc and iShares MSCI Eurozone ETF faced outflows worth $503 million and $468 million respectively last month.

Last month, Morgan Stanley (NYSE:MS) lowered its earnings per share growth forecast for Europe to 3% in 2022 from its earlier forecast of 10%.

""With real GDP growth set to fall below inflation in 2022, margins could fall about 100 basis points this year,"" the brokerage said.

According to Refinitiv data, Euro zone's large and mid-cap companies' earnings are expected to grow 4.4% this year, much lesser than the U.S. firms' growth of 10.3% and Asia's 15.3%.

Europe's STOXX 600 has declined 6% so far this year.

For a related graphic, click https://tmsnrt.rs/3NTvyoe

According to Refinitiv data, MSCI Europe's forward 12-month price-to-earnings ratio stood at 13.9, which is roughly a 20% discount to the MSCI World index's P/E of 17.4"
96;NEUTRAL;"Ralph Lauren Corp (NYSE:RL) shares declined 3.3% on Tuesday after Wells Fargo (NYSE:WFC) lowered its rating along with two other retail companies (VF Corporation (NYSE:VFC), and TJX Companies (NYSE:TJX)) as it becomes more cautious on macro concerns in the near term.

Wells Fargo analyst Ike Boruchow cut the rating for Ralph Lauren to equal weight from overweight, lowering the price target to $110 from $135. 

Boruchow said the company operates in the highly competitive and fragmented apparel sector that has probably been ""over-earning"" for 12-18 months.

In addition, the analyst pointed to increasing consumer challenges that could dampen future spending. If there is a slowdown in the apparel sector, he believes mid-tier players such as Ralph Lauren are most at risk."
97;GOOD;The news sent shares of Carnival up nearly 4% in afternoon trading. The stock traded up more than 8% earlier in the session on the New York Stock Exchange. The news also earlier lifted rivals Royal Caribbean (NYSE:RCL) Group and Norwegian Cruise Line (NYSE:NCLH) Holdings.
98;BAD;"First Solar stock (NASDAQ:FSLR) traded 3.6% lower Tuesday after BofA Securities downgraded it to ‘underperform’ and cut the target to $65.50, around 23% lower than its current level of $81.51.

Analyst Julien Dumoulin-Smith was earlier ‘neutral’ on the stock with a target of $76.5.

According to StreetInsider, the analyst believes that too much “good” news is priced into the shares, making them “susceptible to significant derating”.

The U.S. Department of Commerce is investigating alleged circumvention of antidumping and countervailing duties by solar manufacturers in Asia. While one would expect any punitive measure by the Department to be a tailwind for the company, the analyst believes the policy has consistently failed to drive pricing power.

“We highlight still rising aluminum costs, and pass through on elevated bunkers as yet to materialize on freight in particular,” the analyst wrote in a client note.

The company last month disappointed with its fourth-quarter numbers.

October-December net sales rose 50% to $0.9 billion but were still short of estimates. Full-year sales were $2.9 billion, and the company is now projecting that to fall to at least $2.6 billion in the current year. Sales could be even lower at $2.4 billion, according to the company’s guidance.

The company closed December with a contracted backlog of 26.2 GW.

The company issued a wide range for its 2022 projected operating income, implying a significant fall to $55 million-$155 million in 2022 from $587 million. The company blamed this on production start-up expenses and underutilization of losses related to factory upgrades."
99;BAD;"While the $ amount of buybacks in 1Q was above other 1Qs post-crisis, as a % of S&P 500 market cap, 1Q buybacks were the lowest in five years. Meanwhile, 1Q S&P 500 buyback announcements (as a % of mkt. cap)  ""while similar to 1Q21 levels"" were 50% below the pre-COVID 5-year avg, Carey Hall said in a client note."
100;BAD;Xponential Fitness Inc. (NYSE:XPOF) shares fell 6% after-hours Monday after announcing it has commenced an underwritten public offering of 4,500,000 shares of its Class A common stock by affiliates of Snapdragon Capital Partners, an investment firm owned by Chairman Mark Grabowski. In addition, the underwriters have been granted a 30-day option to purchase up to an additional 675,000 shares.
101;GOOD;The best performers of the session on the CAC 40 were Worldline SA (EPA:WLN), which rose 6.77% or 2.42 points to trade at 38.16 at the close. Meanwhile, Dassault Systemes SE (EPA:DAST) added 5.72% or 2.31 points to end at 42.72 and Capgemini SE (EPA:CAPP) was up 5.15% or 9.60 points to 196.10 in late trade. The top performers on the SBF 120 were Albioma SA (EPA:ABIO) which rose 15.91% to 50.70, Soitec SA (EPA:SOIT) which was up 7.03% to settle at 164.50 and Worldline SA (EPA:WLN) which gained 6.77% to close at 38.16.
102;BAD;The worst performers of the session were WFD Unibail Rodamco NV (AS:URW), which fell 4.25% or 3.00 points to trade at 67.66 at the close. Pernod Ricard SA (EPA:PERP) declined 1.02% or 2.00 points to end at 193.50 and ArcelorMittal SA (AS:MT) was down 1.02% or 0.29 points to 27.75. The worst performers were Solutions 30 SE (EPA:S30) which was down 16.65% to 5.29 in late trade, Eramet SA (EPA:ERMT) which lost 9.60% to settle at 127.10 and Valneva (EPA:VLS) which was down 4.73% to 11.89 at the close.
103;BAD;"European shares moved further off six-week lows hit last session as forecast-beating results from companies including energy major TotalEnergies and automaker Volvo Car helped set aside worries about slowing global economic growth.

The pan-European STOXX 600 index closed up 0.6%, but was below session highs, hit by weak advance first quarter U.S. economic growth data as well as higher-than-expected German inflation spurring bets on a quicker pace of monetary tightening by the European Central Bank. [GVD/EUR]

""Softer GDP numbers has raised fears that the U.S. economy is not as immune to the global headwinds that are blowing as was previously thought,"" said Stuart Cole, head macro economist at Equiti Capital.

""It has been enough to see European stocks giving up some of their gains as overall the U.S. figures have simply raised again worries over a global slowdown,"" he said. ""It is another piece of bad news against a backdrop of bad news generally.""

April has been a volatile ride for stock markets globally, with the STOXX 600 sinking to an over one-month low at one point on concerns over rising interest rates, valuations of U.S. technology firms, the Ukraine conflict and China's COVID lockdowns."
104;BAD;"Climate change could see 4% of global annual economic output lost by 2050 and hit many poorer parts of the world disproportionately hard, a new study of 135 countries has estimated.

Ratings firm S&P Global (NYSE:SPGI), which gives countries credit scores based on the health of their economies, published a report on Tuesday looking at the likely impact of rising sea levels, and more regular heat waves, droughts and storms.

In a baseline scenario where governments largely shy away from major new climate change policies - known as 'RCP 4.5' by scientists - lower- and lower-middle income countries are likely to see 3.6 times greater gross domestic product losses on average than richer ones.

Bangladesh, India, Pakistan and Sri Lanka's exposure to wildfires, floods, major storms and also water shortages mean South Asia has 10%-18% of GDP at risk, roughly treble that of North America and 10 times more than the least-affected region, Europe.

Central Asia, the Middle East and North Africa and Sub-Saharan Africa regions all face sizable losses too. East Asia and Pacific countries face similar levels of exposure as Sub-Saharan Africa, but mainly because of storms and floods rather than heat waves and drought."
105;NEUTRAL;"Polish clothing retailer LPP is talking to potential buyers for its business in Russia, its second largest market, as it joins other Western firms quitting the country.

The move follows the closure of its Russian stores in March after Russia's invasion of Ukraine.

LPP said it had decided to sell its Russian-registered companies because of the ""uncertain situation and inability to predict the course of the armed conflict"", adding that it was in talks with potential buyers and was considering offers.

LPP said it was staying in Ukraine, where it resumed operations in recent weeks after halting them due to the war and was now running a third of its stores in a limited capacity, mostly in west of the country.

LPP's plans to sell its Russian business were first reported by Russia's TASS news agency.

The company, which owns 533 stores in Russia, said in mid-April it was looking to strengthen its presence in the European Union.

Russian sales accounted for 19.2% of its group revenue for 2021/22, while Ukraine accounted for 7.1%"
106;BAD;"Twitter shares ended trading in New York down 2.1% at $48.68, a big discount to the $54.20 deal price, implying a 62% chance of the deal being completed, according to Reuters calculations. That is a relatively low chance of deal completion, investors said, given it is unlikely that Musk, who has no other media holdings, would face antitrust scrutiny.

Tesla shares fell more than 12% on Tuesday, wiping out $126 billion in value, amid concerns Musk will have to sell shares in the electric car maker to pay for the $21 billion equity check in the Twitter deal.

Musk could calm some of the market jitters by providing more details on the source of his equity financing or bring in partners to help split the check. This, however, could introduce new risks to the deal based on the identity of these partners, some fund managers said."
107;BAD;" Denmark stocks were lower after the close on Thursday, as losses in the Healthcare, Oil & Gas and Chemicals sectors led shares lower.

At the close in Copenhagen, the OMX Copenhagen 20 fell 0.81%. The worst performers of the session were Novo Nordisk A/S Class B (CSE:NOVOb), which fell 2.36% or 18.60 points to trade at 770.80 at the close. Ambu A/S (CSE:AMBUb) declined 1.33% or 1.26 points to end at 93.60 and Vestas Wind Systems A/S (CSE:VWS) was down 1.31% or 2.36 points to 177.20.

Falling stocks outnumbered advancing ones on the Copenhagen Stock Exchange by 75 to 74 and 18 ended unchanged.

Shares in Ambu A/S (CSE:AMBUb) fell to 52-week lows; down 1.33% or 1.26 to 93.60."
108;GOOD;The best performers of the session on the OMX Copenhagen 20 were Rockwool International B (CSE:ROCKb), which rose 2.40% or 46.00 points to trade at 1,959.00 at the close. Meanwhile, Pandora A/S (CSE:PNDORA) added 1.83% or 11.20 points to end at 622.60 and AP Moeller - Maersk A/S B (CSE:MAERSKb) was up 1.81% or 355.00 points to 19,990.00 in late trade. Crude oil for June delivery was up 1.89% or 1.93 to $103.95 a barrel. Elsewhere in commodities trading, Brent oil for delivery in July rose 1.41% or 1.48 to hit $106.43 a barrel, while the June Gold Futures contract rose 0.04% or 0.69 to trade at $1,889.39 a troy ounce.
109;BAD;"Archegos Capital Management founder Bill Hwang on Wednesday was released on bail after pleading not guilty to U.S. criminal charges over the meltdown of his New York private investment firm, which left global banks with $10 billion in losses. Archegos, which had $36 billion in assets, collapsed last year when it was caught short on highly leveraged trades.

Among the biggest fund blow-ups in years, the scandal roiled Wall Street, sparked a fire sale in stocks including ViacomCBS (NASDAQ:PARA) and Discovery (NASDAQ:WBD) Inc, and caused Credit Suisse (SIX:CSGN), Nomura Holdings (NYSE:NMR), among other lenders, to lose billions on their trades with Archegos.

Prosecutors alleged on Wednesday that Hwang amassed his huge equity exposures by lying to the banks to increase Archegos' credit lines. He then used derivatives he traded with them to manipulate the underlying shares and ratchet up his returns.

The U.S. Securities and Exchange commission, in a separate civil complaint also brought on Wednesday, said Hwang and Archegos ""engaged in a brazen scheme to manipulate the market"" and ""propped up a $36 billion house of cards"" through a cycle of manipulative trading and lying to banks to obtain additional loans.

""Eventually, the weight of Defendants' fraudulent and manipulative scheme was too much for Archegos to bear, and over the course of less than a week in late March 2021, the house of cards collapsed,"" the SEC said.

Hwang was arrested on Wednesday morning, along with Archegos Chief Financial Officer Patrick Halligan. Hwang pleaded not guilty to 11 counts including racketeering, market manipulation and fraud in Manhattan federal court on Wednesday afternoon. Halligan pleaded not guilty to three charges."
110;GOOD;"Thermo Fisher Scientific Inc (NYSE:TMO) stock jumped Thursday after its earnings report for the first quarter revealed earnings and revenue surpassed forecasts.

The company reported adjusted earnings per share for the first quarter of $7.25 on revenue of $11.82 billion, beating estimates of $6.22 per share on revenue of $10.7 billion.

The company's earnings beat was boosted by Covid testing revenue during the quarter, which came in at $1.68 billion.

Marc Casper, chairman, president, and chief executive officer of Thermo Fisher Scientific, described the quarter as another of excellent performance.

“We started the year with great momentum, executing our proven growth strategy and continuing to be a trusted partner for our customers. Our PPD clinical research business is performing very well, the integration is going smoothly and we are even more excited about the opportunities we have to further enable the success of our pharma and biotech customers,” he added.

Thermo Fisher stock is currently up 6.4%."
111;BAD;"Domino's Pizza Inc missed quarterly sales estimates on Thursday and warned staffing shortages and inflation would pressure its business further into the year, sending the fast-food chain's shares down 5%.

U.S. restaurants have struggled to keep their workers from leaving for higher-paying jobs, with Domino's even offering consumers a $3 coupon code for picking up their own online orders during the quarter to circumvent a driver shortage.

""2022 is shaping up to be a challenging year,"" Chief Executive Officer Richard Allison said during an earnings call, adding that the company's U.S. business will face earnings and sales pressure over next several quarters.

The downbeat update from Domino's comes at a time when analysts have said staffing issues at U.S. restaurants are abating, setting up the industry for a stronger second half of the year."
112;GOOD;"Comcast Corp's first-quarter revenue beat Wall Street expectations on Thursday, as the media giant benefited from its broadcasts of the Super Bowl and Beijing Olympics, as well as a rebound in theme park attendance.

Total revenue rose 14% to $31.01 billion in the quarter, beating analysts' average estimate of $30.53 billion, according to Refinitiv data.

Comcast (NASDAQ:CMCSA), the largest U.S. cable operator, gained 262,000 broadband customers in the quarter, compared with Factset estimates of 229,000.

Broadband subscriber growth slumped 43.1% from a year ago, the third consecutive quarter of subscriber declines after record growth during the pandemic. The company has attributed the slowdown, in part, to fewer people changing homes.

Revenue at Comcast's NBCUniversal media unit rose 36.3% to $6.87 billion, including $1.48 billion in revenue from broadcasting the Super Bowl and Beijing Olympics.

NBCU advertising sales jumped 59.2%, benefiting from the sporting events as well as the growth of the Peacock streaming service.

Peacock added 4 million paid subscribers in the quarter, bringing total paid subscribers to 13 million. In a call with investors Thursday, Chief Executive Officer Brian Roberts said the company does not anticipate seeing that type of growth every quarter."
113;GOOD;"Merck & Co on Thursday reported quarterly profit and sales that beat estimates and raised its full-year forecasts on strong demand for top-selling cancer drug Keytruda, its Gardasil vaccine and COVID-19 antiviral pill molnupiravir.

The U.S. drugmaker's shares rose 1.8% to $85.90 before the opening bell as revenue rose 50% to $15.9 billion, with most of the growth coming from sales of molnupiravir, which was approved in November.

Analysts had expected sales of $14.7 billion, according to Refinitiv data. Excluding molnupiravir sales, revenue grew 19% in the first quarter."
114;GOOD;"American Electric Power (NASDAQ:AEP) reported on Thursday first quarter earnings that beat analysts' forecasts and revenue that topped expectations.

American Electric Power announced earnings per share of $1.22 on revenue of $4.6B. Analysts polled by Investing.com anticipated EPS of $1.21 on revenue of $4.57B. American Electric Power's report follows an earnings beat by NextEra Energy on April 21, who reported EPS of $0.74 on revenue of $2.89B, compared to forecasts EPS of $0.7142 on revenue of $5.19B.

Southern had beat expectations on Thursday with first quarter EPS of $0.97 on revenue of $6.65B, compared to forecast for EPS of $0.8956 on revenue of $5.98B."
115;GOOD;"Serbia on Thursday signed a 190 million euro ($199.67 million) deal with Franco-Italian car maker Stellantis for the production of an electric vehicle at its car manufacturing plant in Kragujevac.

""A new era begins today,"" President Aleksandar Vucic said after the signing ceremony. He said electric vehicle production should start at the beginning of 2024.

Fiat Chrysler (FCA), which is part of Stellantis, produces motor vehicles at the Kragujevac plant and is among Serbia's top ten exporters.

Vucic said that Serbia, which has not yet produced electric cars, will have to consider the opening of numerous charging stations to attract local buyers, as well as to adopt a new energy strategy.

""We have to secure cheaper electricity and to achieve that we have to have more renewable energy,"" Vucic said.

He said Serbia will participate in the investment with 48 million euros."
116;BAD;"Caterpillar Inc (NYSE:CAT) warned that demand in China will be even weaker than the mining and construction giant previously expected as Covid-19 lockdowns across the nation threatens to undermine economic growth.

The company’s first-quarter results Thursday showed China sales and demand slumping, even as other businesses including mining and construction improved. Caterpillar had seen “strong years” in 2020 and 2021 for China and had expected this year to return more back to 2019 levels, Chief Financial Officer Andrew Bonfield said in an interview.

“Now our expectations are slightly lower than that,” Bonfield said. “Overall the good news for us is demand is so strong elsewhere that any impact that China enables us to actually supply other customers around the world, and we didn’t miss a beat in the quarter despite the relative weakness of China.”

Shares were down 1.4% as of 7:38 a.m. in New York during premarket trading. Caterpillar’s results signal the threat of an economic slowdown in China, whose markets are tumbling as the nation looked increasingly left to its own devices in a bid to rescue its economy from the Covid crisis. "
117;NEUTRAL;"Danish brewer Carlsberg (OTC:CABGY) said on Thursday rising consumer prices had not dented demand for beer, as it geared up for further price increases in some markets later this year to make up for soaring commodity costs.

The message from Carlsberg echoes that of other large European companies like Nestle and Danone saying they had successfully managed to pass on higher costs to consumers without harming sales.

The world's third-biggest brewer said sales rose 27% in the first quarter, with the strongest growth in Western Europe despite economic uncertainty from rising inflation.

""We've learned from previous crises that when consumers can't afford to go on holiday or spend money on new cars and fridges, they instead focus on more affordable luxury items such as premium beer,"" Chief Executive Cees't Hart said.

""So far we've seen very little evidence of any consumer impact from higher beer prices,"" he said.

The rise in sales in the first quarter was in part due to a deflated comparison last year when coronavirus lockdowns closed many restaurants and bars.

Carlsberg, the Western brewer most exposed to the Russian market, joined rivals Anheuser-Busch InBev and Heineken (OTC:HEINY) in seeking to withdraw from Russia after Moscow invaded Ukraine on Feb. 24.

The brewer had seen interest in its Russian business, but it was difficult to say what price it could achieve, Hart said.

""We're making good progress, but it may take quite a while,"" he said, without naming potential buyers.

Carlsberg last week said it expected the sale to result in a writedown of about 9.5 billion Danish crowns.

""(Our calculations) brought us to a certain valuation in the market. The question of course is whether we can get that valuation. That is difficult to assess,"" Hart said.

The company holds a 27% share of the Russian market through its ownership of the country's biggest brewer Baltika.

Carlsberg last year generated 10% of its total revenue and 6% of its operating profit in Russia, where it has eight breweries and 8,400 employees.

Hart also said it had reopened its Ukrainian breweries in Kyiv and Lviv, although they were not running at full capacity.

The breweries were closed following what the Kremlin calls its ""special military operation"" to demilitarise Ukraine.

Carlsberg's sales in the January to March period totalled 14.9 billion Danish crowns ($2.10 billion), excluding its Russia business.

The company's shares have recovered slightly since it announced it would exit the Russian market, but remain down around 10% since the start of the invasion. They were trading 1.3% higher at 1022 GMT.

Carlsberg left its full-year guidance for operating profit unchanged with a forecast at between minus 5% and plus 2%."
118;GOOD;"Japanese airline ANA Holdings forecast a return to annual profit as a rebound in domestic demand and easing international travel curbs aid in its recovery from two years of pandemic-driven losses.

The carrier on Thursday posted an operating loss of 173.1 billion yen ($1.3 billion), but expects to swing to a 50 billion yen profit in the year that began April 1.

Japan's largest airline said a sustained focus on reducing operating expenses along with increased domestic travel, strong cargo sales and favorable conditions for growth of international traffic point all point to a better year.

Japan in late March lifted all domestic pandemic restrictions. That has cleared the way for a forecast recovery in domestic flight demand to 80% of pre-pandemic levels on average this financial year, ANA Chief Executive Koji Shibata told reporters.

The number of passengers who booked flights for next week's string of public holidays known as ""Golden Week"" is expected to roughly double from a year ago, he added.

Annual revenue surged 40% to 1.02 trillion yen, driven in part by a record cargo performance and is forecast to jump another 63% this financial year. In the international market, ANA and rival Japan Airlines Co Ltd (JAL) face uncertainties from Japan's prolonged border restrictions and rising fuel costs worsened by the war in Ukraine."
119;BAD;"NEW DELHI (Reuters) -India's antitrust body launched raids early on Thursday against two top domestic sellers of online retail giant Amazon.com Inc (NASDAQ:AMZN), and some on Walmart (NYSE:WMT)'s Flipkart, following accusations of competition law violations, sources told Reuters.

Indian retailers, key supporters of Prime Minister Narendra Modi, have long contended that Amazon and Flipkart's platforms benefit a few big sellers, via predatory pricing, though the companies say they comply with all Indian laws.

The two Amazon sellers figuring in Thursday's raids were Cloudtail and Appario, two sources said on condition of anonymity, as the details were not public.

Two other sources said some sellers on Walmart's Flipkart platform were also being raided by officers of the Competition Commission of India (CCI), but there were no immediate details."
120;BAD;" Airbus is stepping up monitoring of its Chinese supply chain after increased disruption resulting from recent pandemic lockdowns, Chief Executive Guillaume Faury said on Thursday.

""The whole worldwide supply chain is complicated at the moment,"" he told a news briefing in his capacity as head of France's Gifas aerospace industry association.

Worsening logistical problems in China have added to broader pressures, such as problems in raw material supplies, Faury said."
121;NEUTRAL;"French healthcare group Sanofi (NASDAQ:SNY)'s first-quarter adjusted earnings gained 16.2% on sales growth of its bestselling drug Dupixent and a rebound in demand for prescription-free drugs.

First-quarter business operating income, or adjusted earnings before interest and tax, rose to 3.07 billion euros ($3.23 billion), surpassing the average analyst estimate of 2.84 billion euros posted on the company's website.

Revenue from eczema and asthma treatment Dupixent jumped over 45% to 1.61 billion euros, beating an analyst consensus of 1.58 billion euros, on prescriptions in dermatitis, asthma and certain nasal infections.

The drugmaker added it would stop patient recruitment for clinical trials in Russia and Belarus, following Russia's attack on Ukraine, causing study results in the area of multiple sclerosis (MS) and chronic obstructive pulmonary disease (COPD) to be delayed."
122;BAD;"Authorities allege Hwang and Halligan lied to banks in order to increase Archegos' credit lines and use the borrowed money to manipulate the stock prices of companies in the $36 billion family office's portfolio including Viacom, Discovery (NASDAQ:WBD) and Tencent Music Entertainment.

When Archegos collapsed in March 2021, global banks lost around $10 billion. Hwang faces charges of racketeering, securities fraud, securities fraud of counterparties and wire fraud along with seven counts of market manipulation. Halligan is charged with racketeering, wire fraud and securities fraud of counterparties"
123;BAD;"McDonald's is poised to take a bigger financial hit from the war in Ukraine and shuttered locations in Russia than any other major global restaurant chain, with investors watching on Thursday when it reports first quarter earnings to see how much the company stands to lose.

Average estimates for full-year earnings for McDonald's Corp (NYSE:MCD) have fallen a little over 3% to $9.81 per share since it announced on March 8 that it would suspend operations in Russia following Moscow's invasion of Ukraine.

McDonald's previously said the suspension of operations would cost $50 million a month, including lost revenue and continuing to pay leases and wages for its Ukraine and Russia staff -- but analysts have warned that figure could rise if the rouble rebounds."
124;GOOD;"The S&P 500 climbed Wednesday, as technology rebounded from a rout a day earlier, supported by rally in Microsoft (NASDAQ:MSFT) following better-than-expected quarterly results.  

The S&P 500 rose 1.2%, the Dow Jones Industrial Average gained 1.2%, or 385 points, the Nasdaq gained 1.1%.

Alphabet (NASDAQ:{{6369|GOOGL and Microsoft  (NASDAQ:MSFT)kicked off the quarterly earnings for big tech, but it was the latter’s quarterly results that helped steady sentiment on tech.

Microsoft rose more than 6% after reporting fiscal third-quarter results that beat on both the top and bottom lines, led by strong growth in its cloud business.

“[T]he key metric that moves the stock, Azure Cloud revenue, accelerated to 49% constant-currency growth from 46%, the fastest pace since 4Q20 on double the revenue base,” Oppenheimer said in a note."
125;BAD;"Semiconductor stocks struggled to turn positive, weighed down by a slip in shares of Texas Instruments (NASDAQ:TXN). The chipmaker fell more than 2% as its better-than-expected quarterly results were offset by weaker guidance as Covid restrictions in China are expected to dent growth.

Chipmakers will remain in the spotlight as Qualcomm (NASDAQ:QCOM) rolls out its quarterly results the market close.

Beyond tech, Boeing (NYSE:BA) fell more than 8%, to keep gains in the broader market in check, after reporting first-quarter results that missed on both the top and bottom lines. The aircraft maker also said it would halt production of its 777X plane, with deliveries not expected to begin until 2025."
126;BAD;"Russian government hackers carried out multiple cyber operations against Ukraine that appeared to support Moscow's military attacks and online propaganda campaigns, Microsoft (NASDAQ:MSFT) said in a report on Wednesday.

The reported intrusions - some of which have not been previously disclosed - suggest that hacking has played a bigger role in the conflict than what has been publicly known.

The digital onslaught, which Microsoft said began one year prior to Russia's Feb. 24 invasion, may have laid the groundwork for different military missions in the war-torn territory, researchers found.

    Between Feb. 23 and April 8, Microsoft said, it observed a total of 37 Russian destructive cyberattacks inside Ukraine."
127;GOOD;"T-Mobile US Inc beat estimates for first-quarter earnings on Wednesday as its heavy investments in ramping up 5G cellular networks helped it add more phone subscribers than expected and raise its forecast, sending its shares up about 3%.

Although the move to 5G and fiber optic-powered broadband internet has come at a huge cost for U.S. telecom players, hunger for data in a connected world is expected to drive a big rise in subscriber numbers in the coming years.

Last week, Verizon (NYSE:VZ) reported a smaller-than-expected subscriber loss, while AT&T (NYSE:T) saw a surge in customer additions as more people opted for 5G.

T-Mobile added 589,000 postpaid phone customers, compared with estimates of 584,900 according to FactSet, while it added three times more customers than last year for its high-speed internet services.

Postpaid phone customers pay for service at the end of each billing cycle and are considered valuable and less likely to switch carriers.

T-Mobile also raised its forecast for net postpaid customer additions this year to 5.3 million to 5.8 million from 5 million to 5.5 million estimated previously."
